No,Name,Types,LULC,Locality,X,Y,State,District,Year,Source,Evolution of Landslide,Landslide Activity,Soil Texture,Erosion Type,Predominants Soil Constituents,Lithology,Type of Movement,Weathering Grade,Height_m,Width_m,Length_m,Date,Time,Morphology,Vegetation Density,Vegetation Type,Soil Type,Geodynamic Features,Degree of Development,Site Condition,State of Wetness,Source of Water,Area Drainage,Structures at Risk,Corrective Measures,Probable Cause of Landslide
57,Placemark 19,Landslides,Urban,Roadside,763514.9945,492295.6161,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,IV,18.2,11.7,23.8,07/07/2022,17:06:21,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
58,Placemark 191,Landslides,Urban,Roadside,787684.9358,492444.272,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,25.2,38.3,45.9,18/07/2022,15:18:02,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,"Plastic sheet cover, Cascade drain","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
59,Placemark 194,Landslides,Forest,Off Road,778032.1855,489515.324,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Sheet,"Sand, Clay",Granite,Translational,VI,3.8,3.6,5.3,18/07/2022,16:28:08,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
60,Placemark 195,Landslides,Urban,Roadside,764768.5923,497048.123,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Gully,"Clay, Sand",Granite,Rotational,VI,42.4,57,71.1,20/07/2022,16:24:10,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Residential,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
61,Placemark 197,Landslides,Urban,Roadside,764750.7569,496868.5731,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,5.2,4.1,6.7,20/07/2022,16:39:21,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
62,Placemark 198,Landslides,Forest,Roadside,764692.1125,496849.2898,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,10.5,7.9,13.2,20/07/2022,17:02:55,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
63,Placemark 199,Landslides,Forest,Roadside,764680.5819,496837.0195,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,9.3,4.2,13.7,20/07/2022,17:13:24,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
64,Placemark 2,Landslides,Urban,Roadside,762788.4601,494237.1709,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,20.4,21.8,25.1,05/07/2022,15:18:24,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,Soil nail,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
65,Placemark 20,Landslides,Urban,Roadside,763603.5477,492111.8883,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Sheet,"Clay, Sand",Granite,Translational,VI,12.4,31.5,16.9,07/07/2022,17:45:22,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,Soil nail,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
66,Placemark 200,Landslides,Forest,Roadside,764663.4521,496842.7021,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,4.1,3.6,5.5,20/07/2022,17:15:23,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
67,Placemark 201,Landslides,Agriculture,Roadside,764624.9169,496825.7801,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,46.1,17,80.4,20/07/2022,17:17:52,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
68,Placemark 203,Landslides,Agriculture,Roadside,764177.4062,497254.0718,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,5.1,6.4,8.2,20/07/2022,17:45:02,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
69,Placemark 204,Landslides,Agriculture,Roadside,764241.7809,497212.4254,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,11.3,11.7,16.3,20/07/2022,17:48:26,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
70,Placemark 206,Landslides,Forest,Off Road,763959.6968,496874.5368,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,1.4,5.7,5.9,20/07/2022,17:59:04,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
71,Placemark 208,Landslides,Urban,Roadside,764216.6632,496861.0262,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,10,13.4,10.6,20/07/2022,18:12:51,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
72,Placemark 21,Landslides,Water Body,Riverside,764157.6421,492155.5563,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Abandoned,Clay loam,Rill,"Clay, Sand",Granite,Fall,VI,0,0,0,07/07/2022,18:28:12,Flat,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps, Drainage",None,Residential,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Toe cut by stream, Rainfall"
73,Placemark 214,Landslides,Forest,Forest Area,775214.4052,500992.0479,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,3.8,3.6,5.3,24/07/2022,10:10:31,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
74,Placemark 216,Landslides,Agriculture,Agricultural Area,769249.3498,502519.8962,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Gully,"Sand, Clay",Granite,Translational,VI,0,0,0,24/07/2022,11:38:58,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
75,Placemark 218,Landslides,Urban,Roadside,769169.9278,502375.6881,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,24.8,23.4,34.2,24/07/2022,12:10:22,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Soil nail,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
76,Placemark 219,Landslides,Agriculture,Terraced Agricultural Area,769011.2324,502336.969,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Flow,VI,0,0,0,24/07/2022,13:50:36,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Residential,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
77,Placemark 22,Landslides,Urban,Roadside,765505.3875,492405.468,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Light clay,Sheet,Clay,Phyllite,Translational,IV,10.7,8.7,13.9,08/07/2022,12:45:31,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,"Natural, Development",Dry,"Rain, Water seeps",Well drained,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
78,Placemark 223,Landslides,Agriculture,Lavender Garden,769167.4184,500768.9046,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,0,0,0,24/07/2022,14:08:06,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
79,Placemark 225,Landslides,Urban,Roadside,769373.0327,499613.2298,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,0,0,0,24/07/2022,14:26:05,Flat,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Institutions,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
80,Placemark 226,Landslides,Urban,Development Area,770195.7074,499285.2506,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,13.7,11.8,18.2,24/07/2022,14:36:15,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Commercial,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
81,Placemark 227,Landslides,Agriculture,Roadside,770165.6436,499281.7524,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,1.8,56.1,56.2,24/07/2022,14:40:15,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
82,Placemark 229,Landslides,Agriculture,Agricultural Area,769716.2716,499598.3368,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,24/07/2022,14:55:45,Convex,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
83,Placemark 23,Landslides,Urban,Roadside,765527.7976,492416.8731,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy clay,Sheet,"Sand, Clay",Granite,Translational,IV,4.2,7.3,5.4,08/07/2022,13:15:04,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
84,Placemark 231,Landslides,Urban,Off Road,766391.074,500667.953,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,V,23.2,17.6,29.2,24/07/2022,15:44:05,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
85,Placemark 232,Landslides,Agriculture,Agricultural Area,766800.3107,500171.2959,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,V,1.8,4.3,4.7,24/07/2022,15:57:41,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
86,Placemark 234,Landslides,Agriculture,Agricultural Area,766601.7768,500194.8415,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,5.4,5,6,24/07/2022,16:12:53,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
87,Placemark 236,Landslides,Agriculture,Agricultural Area,766535.4031,500190.2541,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,5.2,4.1,6.7,24/07/2022,16:17:39,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
88,Placemark 237,Landslides,Agriculture,Agricultural Area,766472.7822,500170.593,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Light clay,Sheet,"Clay, Sand",Granite,Translational,VI,1,4.8,5,24/07/2022,16:23:00,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
89,Placemark 238,Landslides,Agriculture,Agricultural Area,766492.5361,500177.75,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Light clay,Rill,"Clay, Sand",Granite,Translational,VI,4.1,3.6,5.5,24/07/2022,16:29:49,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
90,Placemark 239,Landslides,Agriculture,Agricultural Area,766702.7603,500151.064,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,1,14.6,14.7,24/07/2022,16:41:07,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Offroads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
91,Placemark 24,Landslides,Agriculture,Agricultural Area,765984.2183,492292.9208,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,IV,6.9,16.2,9,08/07/2022,13:42:15,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,"Natural, Development",Dry,"Rain, Water seeps",None,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
92,Placemark 240,Landslides,Agriculture,Agricultural Area,766117.0947,497283.1732,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Fall,VI,5.1,6.4,8.2,24/07/2022,17:21:43,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
93,Placemark 241,Landslides,Urban,Off Road,766391.8818,497049.4749,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,5.8,6.2,8.6,24/07/2022,17:36:31,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
94,Placemark 242,Landslides,Urban,Roadside,763552.4074,496073.5401,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Gully,"Clay, Sand",Granite,Translational,VI,10,10.1,10.6,24/07/2022,18:09:09,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
95,Placemark 246,Landslides,Urban,Residential Area,764535.5811,494151.9263,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,0,0,0,25/07/2022,11:02:56,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
96,Placemark 248,Landslides,Urban,Abu Bakar Mosque,764495.5017,494545.7111,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Sandy clay,Gully,"Sand, Clay",Granite,Translational,VI,0,0,0,25/07/2022,12:26:28,Convex,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,Gabion wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
97,Placemark 25,Landslides,Urban,Roadside,765855.8903,492289.384,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy clay,Sheet,"Sand, Clay",Granite,Translational,V,4,6.1,6.3,08/07/2022,13:50:33,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
98,Placemark 250,Landslides,Urban,Roadside,764352.437,494370.6833,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy clay,Rill,"Sand, Clay",Granite,Fall,V,11.3,11.7,16.3,25/07/2022,12:47:46,Flat,Moderate,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",Well drained,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
99,Placemark 252,Landslides,Urban,Near Building,763555.3586,495064.1466,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Fall,V,12.4,10.9,16.6,25/07/2022,13:08:01,Flat,Sparse,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
100,Placemark 253,Landslides,Urban,Near Building,763700.1307,495240.5796,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,14.5,12.3,19.1,25/07/2022,13:16:45,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",Well drained,Roads,"Soil nail, Gunite, Stone pitch wall, Cascade drain","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
101,Placemark 254,Landslides,Urban,Roadside,763950.5212,495039.5427,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy loam,Rill,"Sand, Clay",Granite,Translational,IV,3.5,4.8,6,25/07/2022,13:31:02,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
102,Placemark 255,Landslides,Forest,Roadside,764021.2941,494974.9148,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Sandy clay,Gully,"Sand, Clay",Granite,Fall,VI,1,11.2,11.3,25/07/2022,13:45:57,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,"Stone pitch wall, Shortcrete","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
103,Placemark 256,Landslides,Forest,Roadside,764022.0062,494995.2432,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Fall,VI,8.3,11.1,13.9,25/07/2022,13:49:43,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,"Stone pitch wall, Shortcrete","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
104,Placemark 257,Landslides,Urban,Roadside,763714.9871,495275.8942,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,35.4,55.3,42.4,25/07/2022,14:47:59,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",Well drained,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
105,Placemark 258,Landslides,Forest,Off Road,765892.9984,500302.6677,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Sandy clay,Rill,"Sand, Clay",Granite,Translational,VI,7.9,11,13.6,25/07/2022,15:38:58,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Offroads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
106,Placemark 26,Landslides,Forest,Forest Area,767636.6668,492279.0269,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Light clay,Sheet,"Clay, Sand",Granite,Fall,VI,4.6,6.3,6.4,08/07/2022,14:06:23,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
107,Placemark 260,Landslides,Agriculture,Agricultural Area,765947.1585,500312.0142,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Sandy loam,Rill,"Sand, Clay",Granite,Translational,VI,0,0,0,25/07/2022,15:44:24,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
108,Placemark 261,Landslides,Urban,Roadside,763596.3011,495346.7905,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Light clay,Rill,"Clay, Sand",Granite,Translational,VI,13.7,11.7,18.1,26/07/2022,10:12:16,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
109,Placemark 262,Landslides,Urban,Roadside,763618.5727,495465.9384,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,9.5,7.3,12.1,26/07/2022,10:28:51,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Intermediate,Natural,Dry,"Rain, Water seeps",None,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
110,Placemark 263,Landslides,Forest,Roadside,763673.8793,495527.012,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,10.5,6,12.2,26/07/2022,10:34:34,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Roads,"Shoretcrete, Gunite","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
111,Placemark 264,Landslides,Forest,Roadside,763603.9277,495634.8058,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Fall,VI,9,4.4,10.1,26/07/2022,10:41:52,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Roads,Stone pitch wall,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
112,Placemark 265,Landslides,Urban,Roadside,763651.2946,495772.1127,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,28.3,80.4,85.3,26/07/2022,11:15:42,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Roads,Plastic sheet cover,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
